Station,Stn Type,Crime Group - Full,Number of Crimes
CHURCH STREET,Croydon Tramlink,Line of Route (Serious),1
CHURCH STREET,Croydon Tramlink,Violence,2
CHURCH STREET,Croydon Tramlink,Violence,1
CHURCH STREET,Croydon Tramlink,Public Order (Less Serious),1
CHURCH STREET,Croydon Tramlink,Public Order (Less Serious),1
CHURCH STREET,Croydon Tramlink,Fraud (Less Serious),1
CHURCH STREET,Croydon Tramlink,Violence,1
CHURCH STREET,Croydon Tramlink,Criminal Damage,1
CHURCH STREET,Croydon Tramlink,Pedal Cycle,1
CHURCH STREET,Croydon Tramlink,Robbery,1
CHURCH STREET,Croydon Tramlink,Public Order (Serious),1
CHURCH STREET,Croydon Tramlink,Public Order (Less Serious),1
CHURCH STREET,Croydon Tramlink,Fraud (Less Serious),3
CITY THAMESLINK,Mainline Stn,Theft of Passenger Property,1
CITY THAMESLINK,Mainline Stn,Theft Cable & Plant,1
CITY THAMESLINK,Mainline Stn,Theft of Passenger Property,1
CITY THAMESLINK,Mainline Stn,Theft of Passenger Property,5
CITY THAMESLINK,Mainline Stn,Public Order (Serious),1
CITY THAMESLINK,Mainline Stn,Fraud (Less Serious),1
CITY THAMESLINK,Mainline Stn,Violence,1
CITY THAMESLINK,Mainline Stn,Public Order (Less Serious),1
CITY THAMESLINK,Mainline Stn,Public Order (Less Serious),2
CITY THAMESLINK,Mainline Stn,Fraud (Less Serious),1
CLAPHAM COMMON,TfL Stn,Violence,1
CLAPHAM COMMON,TfL Stn,Violence,1
CLAPHAM COMMON,TfL Stn,Sex,1
CLAPHAM COMMON,TfL Stn,Sex,1
CLAPHAM COMMON,TfL Stn,Theft of Passenger Property,4
CLAPHAM COMMON,TfL Stn,Criminal Damage,1
CLAPHAM COMMON,TfL Stn,Theft of Passenger Property,1
CLAPHAM COMMON,TfL Stn,Public Order (Serious),1
CLAPHAM COMMON,TfL Stn,Public Order (Less Serious),1
CLAPHAM COMMON,TfL Stn,Fraud (Less Serious),1
CLAPHAM HIGH STREET,Mainline Stn,Line of Route (Less Serious),1
CLAPHAM HIGH STREET,Mainline Stn,Public Order (Serious),1
CLAPHAM HIGH STREET,Mainline Stn,Fraud (Less Serious),1
CLAPHAM HIGH STREET,Mainline Stn,Robbery,2
CLAPHAM HIGH STREET,Mainline Stn,Public Order (Serious),1
CLAPHAM HIGH STREET,Mainline Stn,Pedal Cycle,1
CLAPHAM HIGH STREET,Mainline Stn,Public Order (Serious),1
CLAPHAM HIGH STREET,Mainline Stn,Fraud (Less Serious),3
CLAPHAM HIGH STREET,Mainline Stn,Fraud (Less Serious),5
CLAPHAM HIGH STREET,Mainline Stn,Drugs,2
CLAPHAM HIGH STREET,Mainline Stn,Other (Less Serious),2
CLAPHAM JUNCTION,Mainline Stn,Violence,1
CLAPHAM JUNCTION,Mainline Stn,Violence,1
CLAPHAM JUNCTION,Mainline Stn,Violence,1
CLAPHAM JUNCTION,Mainline Stn,Sex,1
CLAPHAM JUNCTION,Mainline Stn,Graffiti,1
CLAPHAM JUNCTION,Mainline Stn,Line of Route (Less Serious),1
CLAPHAM JUNCTION,Mainline Stn,Line of Route (Less Serious),18
CLAPHAM JUNCTION,Mainline Stn,Theft of Passenger Property,2
CLAPHAM JUNCTION,Mainline Stn,Theft of Passenger Property,2
CLAPHAM JUNCTION,Mainline Stn,Burglary & Theft Railway,1
CLAPHAM JUNCTION,Mainline Stn,Public Order (Serious),1
CLAPHAM JUNCTION,Mainline Stn,Public Order (Less Serious),3
CLAPHAM JUNCTION,Mainline Stn,Fraud (Less Serious),1
CLAPHAM JUNCTION,Mainline Stn,Drugs,5
CLAPHAM JUNCTION,Mainline Stn,Other (Less Serious),1
CLAPHAM JUNCTION,Mainline Stn,Other (Less Serious),1
CLAPHAM JUNCTION,Mainline Stn,Violence,3
CLAPHAM JUNCTION,Mainline Stn,Violence,12
CLAPHAM JUNCTION,Mainline Stn,Violence,2
CLAPHAM JUNCTION,Mainline Stn,Violence,2
CLAPHAM JUNCTION,Mainline Stn,Violence,1
CLAPHAM JUNCTION,Mainline Stn,Violence,1
CLAPHAM JUNCTION,Mainline Stn,Sex,2
CLAPHAM JUNCTION,Mainline Stn,Sex,2
CLAPHAM JUNCTION,Mainline Stn,Sex,4
CLAPHAM JUNCTION,Mainline Stn,Criminal Damage,1
CLAPHAM JUNCTION,Mainline Stn,Graffiti,1
CLAPHAM JUNCTION,Mainline Stn,Graffiti,1
CLAPHAM JUNCTION,Mainline Stn,Theft of Passenger Property,41
CLAPHAM JUNCTION,Mainline Stn,Theft of Passenger Property,10
CLAPHAM JUNCTION,Mainline Stn,Theft of Passenger Property,48
CLAPHAM JUNCTION,Mainline Stn,Pedal Cycle,1
CLAPHAM JUNCTION,Mainline Stn,Robbery,2
CLAPHAM JUNCTION,Mainline Stn,Public Order (Serious),2
CLAPHAM JUNCTION,Mainline Stn,Public Order (Serious),1
CLAPHAM JUNCTION,Mainline Stn,Public Order (Serious),7
CLAPHAM JUNCTION,Mainline Stn,Public Order (Serious),8
CLAPHAM JUNCTION,Mainline Stn,Public Order (Serious),2
CLAPHAM JUNCTION,Mainline Stn,Public Order (Less Serious),19
CLAPHAM JUNCTION,Mainline Stn,Public Order (Less Serious),3
CLAPHAM JUNCTION,Mainline Stn,Public Order (Less Serious),5
CLAPHAM JUNCTION,Mainline Stn,Fraud (Less Serious),9
CLAPHAM JUNCTION,Mainline Stn,Fraud (Less Serious),8
CLAPHAM JUNCTION,Mainline Stn,Other (Less Serious),1
CLAPHAM JUNCTION,Mainline Stn,Violence,9
CLAPHAM JUNCTION,Mainline Stn,Violence,2
CLAPHAM JUNCTION,Mainline Stn,Violence,25
CLAPHAM JUNCTION,Mainline Stn,Violence,3
CLAPHAM JUNCTION,Mainline Stn,Violence,4
CLAPHAM JUNCTION,Mainline Stn,Violence,2
CLAPHAM JUNCTION,Mainline Stn,Violence,1
CLAPHAM JUNCTION,Mainline Stn,Violence,1
CLAPHAM JUNCTION,Mainline Stn,Violence,5
CLAPHAM JUNCTION,Mainline Stn,Violence,3
CLAPHAM JUNCTION,Mainline Stn,Weapons,2
CLAPHAM JUNCTION,Mainline Stn,Weapons,1
CLAPHAM JUNCTION,Mainline Stn,Sex,1
CLAPHAM JUNCTION,Mainline Stn,Sex,1
CLAPHAM JUNCTION,Mainline Stn,Criminal Damage,1
CLAPHAM JUNCTION,Mainline Stn,Theft of Passenger Property,15
CLAPHAM JUNCTION,Mainline Stn,Theft of Passenger Property,11
CLAPHAM JUNCTION,Mainline Stn,Pedal Cycle,3
CLAPHAM JUNCTION,Mainline Stn,Pedal Cycle,4
CLAPHAM JUNCTION,Mainline Stn,Burglary & Theft Railway,1
CLAPHAM JUNCTION,Mainline Stn,Burglary & Theft Railway,1
CLAPHAM JUNCTION,Mainline Stn,Burglary & Theft Railway,1
CLAPHAM JUNCTION,Mainline Stn,Burglary & Theft Railway,2
CLAPHAM JUNCTION,Mainline Stn,Burglary & Theft Railway,2
CLAPHAM JUNCTION,Mainline Stn,Public Order (Serious),1
CLAPHAM JUNCTION,Mainline Stn,Public Order (Serious),1
CLAPHAM JUNCTION,Mainline Stn,Public Order (Serious),10
CLAPHAM JUNCTION,Mainline Stn,Public Order (Serious),2
CLAPHAM JUNCTION,Mainline Stn,Public Order (Serious),2
CLAPHAM JUNCTION,Mainline Stn,Public Order (Less Serious),15
CLAPHAM JUNCTION,Mainline Stn,Public Order (Less Serious),4
CLAPHAM JUNCTION,Mainline Stn,Public Order (Less Serious),11
CLAPHAM JUNCTION,Mainline Stn,Fraud (Serious),1
CLAPHAM JUNCTION,Mainline Stn,Fraud (Serious),1
CLAPHAM JUNCTION,Mainline Stn,Fraud (Less Serious),5
CLAPHAM JUNCTION,Mainline Stn,Fraud (Less Serious),2
CLAPHAM JUNCTION,Mainline Stn,Fraud (Less Serious),9
CLAPHAM JUNCTION,Mainline Stn,Drugs,6
CLAPHAM JUNCTION,Mainline Stn,Other (Less Serious),2
CLAPHAM JUNCTION,Mainline Stn,Other (Less Serious),1
CLAPHAM NORTH,TfL Stn,Violence,2
CLAPHAM NORTH,TfL Stn,Theft of Passenger Property,4
CLAPHAM NORTH,TfL Stn,Theft of Passenger Property,1
CLAPHAM NORTH,TfL Stn,Public Order (Less Serious),2
CLAPHAM NORTH,TfL Stn,Violence,1
CLAPHAM NORTH,TfL Stn,Public Order (Less Serious),1
CLAPHAM NORTH,TfL Stn,Public Order (Less Serious),1
CLAPHAM NORTH,TfL Stn,Public Order (Less Serious),1
CLAPHAM SOUTH,TfL Stn,Theft of Passenger Property,1
CLAPHAM SOUTH,TfL Stn,Other (Less Serious),1
CLAPHAM SOUTH,TfL Stn,Violence,1
CLAPHAM SOUTH,TfL Stn,Violence,1
CLAPHAM SOUTH,TfL Stn,Theft of Passenger Property,3
CLAPHAM SOUTH,TfL Stn,Theft of Passenger Property,1
CLAPHAM SOUTH,TfL Stn,Public Order (Less Serious),1
CLAPHAM SOUTH,TfL Stn,Violence,1
CLAPHAM SOUTH,TfL Stn,Violence,3
CLAPHAM SOUTH,TfL Stn,Weapons,1
CLAPHAM SOUTH,TfL Stn,Public Order (Serious),1
CLAPHAM SOUTH,TfL Stn,Public Order (Serious),1
CLAPHAM SOUTH,TfL Stn,Public Order (Less Serious),1
CLAPHAM SOUTH,TfL Stn,Public Order (Less Serious),1
CLAPHAM SOUTH,TfL Stn,Public Order (Less Serious),2
CLAPHAM SOUTH,TfL Stn,Drugs,1
CLAPHAM SOUTH,TfL Stn,Other (Less Serious),1
CLAPTON,Mainline Stn,Line of Route (Serious),1
CLAPTON,Mainline Stn,Line of Route (Less Serious),1
CLAPTON,Mainline Stn,Theft Cable & Plant,2
CLAPTON,Mainline Stn,Violence,1
CLAPTON,Mainline Stn,Sex,1
CLAPTON,Mainline Stn,Graffiti,1
CLAPTON,Mainline Stn,Theft of Passenger Property,3
CLAPTON,Mainline Stn,Public Order (Less Serious),1
CLAPTON,Mainline Stn,Violence,4
CLAPTON,Mainline Stn,Criminal Damage,3
CLAPTON,Mainline Stn,Graffiti,3
CLAPTON,Mainline Stn,Theft of Passenger Property,1
CLAPTON,Mainline Stn,Burglary & Theft Railway,11
CLAPTON,Mainline Stn,Public Order (Less Serious),4
CLAPTON,Mainline Stn,Fraud (Less Serious),1
CLAPTON,Mainline Stn,Drugs,1
CLAPTON,Mainline Stn,Other (Less Serious),1
CLOCK HOUSE,Mainline Stn,Violence,2
CLOCK HOUSE,Mainline Stn,Violence,1
CLOCK HOUSE,Mainline Stn,Criminal Damage,1
CLOCK HOUSE,Mainline Stn,Motor Vehicle,1
CLOCK HOUSE,Mainline Stn,Pedal Cycle,1
CLOCK HOUSE,Mainline Stn,Public Order (Serious),1
COCKFOSTERS,TfL Stn,Criminal Damage,1
COCKFOSTERS,TfL Stn,Graffiti,1
COCKFOSTERS,TfL Stn,Line of Route (Serious),1
COCKFOSTERS,TfL Stn,Line of Route (Less Serious),1
COCKFOSTERS,TfL Stn,Violence,1
COCKFOSTERS,TfL Stn,Criminal Damage,1
COCKFOSTERS,TfL Stn,Criminal Damage,3
COCKFOSTERS,TfL Stn,Graffiti,2
COCKFOSTERS,TfL Stn,Graffiti,1
COCKFOSTERS,TfL Stn,Theft of Passenger Property,18
COCKFOSTERS,TfL Stn,Theft of Passenger Property,2
COCKFOSTERS,TfL Stn,Public Order (Less Serious),1
COCKFOSTERS,TfL Stn,Public Order (Less Serious),1
COCKFOSTERS,TfL Stn,Other (Less Serious),1
COCKFOSTERS,TfL Stn,Violence,1
COCKFOSTERS,TfL Stn,Violence,1
COCKFOSTERS,TfL Stn,Criminal Damage,1
COCKFOSTERS,TfL Stn,Theft of Passenger Property,1
COCKFOSTERS,TfL Stn,Theft of Passenger Property,1
COCKFOSTERS,TfL Stn,Motor Vehicle,1
COCKFOSTERS,TfL Stn,Motor Vehicle,2
COCKFOSTERS,TfL Stn,Pedal Cycle,1
COCKFOSTERS,TfL Stn,Public Order (Serious),1
COCKFOSTERS,TfL Stn,Public Order (Serious),1
COCKFOSTERS,TfL Stn,Public Order (Less Serious),4
COCKFOSTERS,TfL Stn,Fraud (Less Serious),3
COCKFOSTERS,TfL Stn,Fraud (Less Serious),1
COCKFOSTERS,TfL Stn,Other (Serious),1
COCKFOSTERS,TfL Stn,Other (Less Serious),1
COCKFOSTERS DEPOT,TfL Stn,Criminal Damage,2
COCKFOSTERS DEPOT,TfL Stn,Line of Route (Less Serious),1
COCKFOSTERS DEPOT,TfL Stn,Graffiti,2
COCKFOSTERS DEPOT,TfL Stn,Public Order (Less Serious),1
COCKFOSTERS DEPOT,TfL Stn,Other (Less Serious),1
COLINDALE,TfL Stn,Line of Route (Less Serious),2
COLINDALE,TfL Stn,Line of Route (Less Serious),1
COLINDALE,TfL Stn,Violence,1
COLINDALE,TfL Stn,Sex,1
COLINDALE,TfL Stn,Theft of Passenger Property,2
COLINDALE,TfL Stn,Theft of Passenger Property,2
COLINDALE,TfL Stn,Public Order (Serious),1
COLINDALE,TfL Stn,Public Order (Less Serious),1
COLINDALE,TfL Stn,Violence,1
COLINDALE,TfL Stn,Theft of Passenger Property,1
COLINDALE,TfL Stn,Burglary & Theft Railway,1
COLINDALE,TfL Stn,Theft Cable & Plant,1
COLINDALE,TfL Stn,Public Order (Serious),1
COLINDALE,TfL Stn,Public Order (Less Serious),1
COLINDALE,TfL Stn,Fraud (Less Serious),2
COLINDALE,TfL Stn,Fraud (Less Serious),4
COLINDALE,TfL Stn,Other (Less Serious),1
COLLIERS WOOD,TfL Stn,Public Order (Less Serious),1
COLLIERS WOOD,TfL Stn,Violence,1
COLLIERS WOOD,TfL Stn,Sex,2
COLLIERS WOOD,TfL Stn,Theft of Passenger Property,6
COLLIERS WOOD,TfL Stn,Public Order (Serious),1
COLLIERS WOOD,TfL Stn,Public Order (Less Serious),1
COLLIERS WOOD,TfL Stn,Violence,1
COLLIERS WOOD,TfL Stn,Theft of Passenger Property,1
COLLIERS WOOD,TfL Stn,Fraud (Serious),1
COLLIERS WOOD,TfL Stn,Fraud (Less Serious),1
COLLIERS WOOD,TfL Stn,Fraud (Less Serious),1
COOMBE LANE,Croydon Tramlink,Violence,2
COOMBE LANE,Croydon Tramlink,Theft of Passenger Property,1
COOMBE LANE,Croydon Tramlink,Public Order (Serious),1
COOMBE LANE,Croydon Tramlink,Fraud (Less Serious),2
COOMBE LANE,Croydon Tramlink,Criminal Damage,3
COOMBE LANE,Croydon Tramlink,Fraud (Less Serious),4
COULSDON SOUTH,Mainline Stn,Line of Route (Less Serious),1
COULSDON SOUTH,Mainline Stn,Theft of Passenger Property,1
COULSDON SOUTH,Mainline Stn,Violence,1
COULSDON SOUTH,Mainline Stn,Violence,1
COULSDON SOUTH,Mainline Stn,Violence,1
COULSDON SOUTH,Mainline Stn,Criminal Damage,1
COULSDON SOUTH,Mainline Stn,Motor Vehicle,1
COULSDON SOUTH,Mainline Stn,Public Order (Serious),1
COULSDON TOWN,Mainline Stn,Line of Route (Less Serious),1
COULSDON TOWN,Mainline Stn,Theft of Passenger Property,1
COULSDON TOWN,Mainline Stn,Public Order (Serious),1
COULSDON TOWN,Mainline Stn,Graffiti,1
COVENT GARDEN,TfL Stn,Violence,1
COVENT GARDEN,TfL Stn,Line of Route (Serious),1
COVENT GARDEN,TfL Stn,Theft of Passenger Property,1
COVENT GARDEN,TfL Stn,Violence,2
COVENT GARDEN,TfL Stn,Violence,1
COVENT GARDEN,TfL Stn,Violence,1
COVENT GARDEN,TfL Stn,Violence,1
COVENT GARDEN,TfL Stn,Sex,1
COVENT GARDEN,TfL Stn,Theft of Passenger Property,26
COVENT GARDEN,TfL Stn,Theft of Passenger Property,2
COVENT GARDEN,TfL Stn,Violence,2
COVENT GARDEN,TfL Stn,Violence,1
COVENT GARDEN,TfL Stn,Sex,1
COVENT GARDEN,TfL Stn,Theft of Passenger Property,12
COVENT GARDEN,TfL Stn,Public Order (Serious),1
COVENT GARDEN,TfL Stn,Public Order (Serious),1
COVENT GARDEN,TfL Stn,Public Order (Less Serious),1
COVENT GARDEN,TfL Stn,Public Order (Less Serious),1
COVENT GARDEN,TfL Stn,Drugs,1
COVENT GARDEN,TfL Stn,Other (Less Serious),1
CRAYFORD,Mainline Stn,Criminal Damage,1
CRAYFORD,Mainline Stn,Burglary & Theft Railway,1
CRAYFORD,Mainline Stn,Theft Cable & Plant,1
CRAYFORD,Mainline Stn,Theft Cable & Plant,1
CRAYFORD,Mainline Stn,Violence,1
CRAYFORD,Mainline Stn,Theft of Passenger Property,3
CRAYFORD,Mainline Stn,Public Order (Serious),1
CRAYFORD,Mainline Stn,Drugs,1
CRAYFORD,Mainline Stn,Violence,1
CRAYFORD,Mainline Stn,Violence,1
CRAYFORD,Mainline Stn,Sex,1
CRAYFORD,Mainline Stn,Criminal Damage,1
CRAYFORD,Mainline Stn,Theft of Passenger Property,1
CRAYFORD,Mainline Stn,Motor Vehicle,1
CRAYFORD,Mainline Stn,Pedal Cycle,9
CRAYFORD,Mainline Stn,Robbery,1
CRAYFORD,Mainline Stn,Burglary & Theft Railway,1
CRAYFORD,Mainline Stn,Public Order (Serious),1
CRAYFORD,Mainline Stn,Public Order (Serious),1
CRAYFORD,Mainline Stn,Public Order (Less Serious),1
CRAYFORD,Mainline Stn,Fraud (Less Serious),1
CRAYFORD,Mainline Stn,Drugs,2
CRAYFORD,Mainline Stn,Other (Less Serious),1
CREWS HILL,Mainline Stn,Motor Vehicle,1
CRICKLEWOOD,Mainline Stn,Graffiti,3
CRICKLEWOOD,Mainline Stn,Line of Route (Less Serious),11
CRICKLEWOOD,Mainline Stn,Burglary & Theft Railway,1
CRICKLEWOOD,Mainline Stn,Theft Cable & Plant,1
CRICKLEWOOD,Mainline Stn,Fraud (Less Serious),1
CRICKLEWOOD,Mainline Stn,Violence,1
CRICKLEWOOD,Mainline Stn,Sex,1
CRICKLEWOOD,Mainline Stn,Graffiti,3
CRICKLEWOOD,Mainline Stn,Graffiti,14
CRICKLEWOOD,Mainline Stn,Theft of Passenger Property,4
CRICKLEWOOD,Mainline Stn,Burglary & Theft Railway,1
CRICKLEWOOD,Mainline Stn,Theft Cable & Plant,2
CRICKLEWOOD,Mainline Stn,Public Order (Less Serious),2
CRICKLEWOOD,Mainline Stn,Public Order (Less Serious),1
CRICKLEWOOD,Mainline Stn,Fraud (Less Serious),1
CRICKLEWOOD,Mainline Stn,Other (Serious),1
CRICKLEWOOD,Mainline Stn,Other (Less Serious),3
CRICKLEWOOD,Mainline Stn,Theft of Passenger Property,1
CRICKLEWOOD,Mainline Stn,Pedal Cycle,1
CRICKLEWOOD,Mainline Stn,Public Order (Less Serious),4
CRICKLEWOOD,Mainline Stn,Public Order (Less Serious),1
CRICKLEWOOD,Mainline Stn,Drugs,1
CROFTON PARK,Mainline Stn,Violence,2
CROFTON PARK,Mainline Stn,Line of Route (Less Serious),3
CROFTON PARK,Mainline Stn,Violence,1
CROFTON PARK,Mainline Stn,Theft of Passenger Property,2
CROFTON PARK,Mainline Stn,Public Order (Less Serious),1
CROFTON PARK,Mainline Stn,Violence,1
CROFTON PARK,Mainline Stn,Criminal Damage,1
CROFTON PARK,Mainline Stn,Line of Route (Less Serious),1
CROFTON PARK,Mainline Stn,Theft of Passenger Property,1
CROFTON PARK,Mainline Stn,Fraud (Less Serious),1
CROSSHARBOUR,DLR Stn,Line of Route (Less Serious),2
CROSSHARBOUR,DLR Stn,Violence,1
CROSSHARBOUR,DLR Stn,Theft of Passenger Property,1
CROSSHARBOUR,DLR Stn,Pedal Cycle,1
CROSSHARBOUR,DLR Stn,Burglary & Theft Railway,3
CROSSHARBOUR,DLR Stn,Other (Serious),1
CROUCH HILL,Mainline Stn,Line of Route (Less Serious),3
CROUCH HILL,Mainline Stn,Public Order (Less Serious),1
CROUCH HILL,Mainline Stn,Sex,1
CROUCH HILL,Mainline Stn,Theft of Passenger Property,3
CROUCH HILL,Mainline Stn,Public Order (Serious),1
CROUCH HILL,Mainline Stn,Violence,1
CROUCH HILL,Mainline Stn,Weapons,1
CROUCH HILL,Mainline Stn,Public Order (Less Serious),1
CROUCH HILL,Mainline Stn,Drugs,1
CROXLEY,TfL Stn,Graffiti,1
CROXLEY,TfL Stn,Theft Cable & Plant,1
CROXLEY,TfL Stn,Fraud (Serious),1
CROXLEY,TfL Stn,Violence,1
CROXLEY,TfL Stn,Theft of Passenger Property,1
CROXLEY,TfL Stn,Theft of Passenger Property,1
CROXLEY,TfL Stn,Pedal Cycle,1
CROXLEY,TfL Stn,Pedal Cycle,2
CROXLEY,TfL Stn,Public Order (Serious),1
CROXLEY,TfL Stn,Public Order (Less Serious),1
CROXLEY,TfL Stn,Other (Less Serious),1
CROYDON TRAMLINK DEPOT,Croydon Tramlink,Line of Route (Serious),1
CROYDON TRAMLINK DEPOT,Croydon Tramlink,Theft Cable & Plant,2
CROYDON TRAMLINK DEPOT,Croydon Tramlink,Criminal Damage,1
CROYDON TRAMLINK DEPOT,Croydon Tramlink,Theft of Passenger Property,1
CRYSTAL PALACE,Mainline Stn,Weapons,1
CRYSTAL PALACE,Mainline Stn,Line of Route (Less Serious),1
CRYSTAL PALACE,Mainline Stn,Violence,1
CRYSTAL PALACE,Mainline Stn,Graffiti,1
CRYSTAL PALACE,Mainline Stn,Graffiti,2
CRYSTAL PALACE,Mainline Stn,Theft of Passenger Property,3
CRYSTAL PALACE,Mainline Stn,Theft of Passenger Property,3
CRYSTAL PALACE,Mainline Stn,Robbery,1
CRYSTAL PALACE,Mainline Stn,Public Order (Less Serious),2
CRYSTAL PALACE,Mainline Stn,Fraud (Less Serious),2
CRYSTAL PALACE,Mainline Stn,Fraud (Less Serious),1
CRYSTAL PALACE,Mainline Stn,Violence,1
CRYSTAL PALACE,Mainline Stn,Violence,1
CRYSTAL PALACE,Mainline Stn,Motor Vehicle,1
CRYSTAL PALACE,Mainline Stn,Public Order (Serious),1
CRYSTAL PALACE,Mainline Stn,Public Order (Serious),1
CRYSTAL PALACE,Mainline Stn,Public Order (Less Serious),2
CRYSTAL PALACE,Mainline Stn,Public Order (Less Serious),1
CRYSTAL PALACE,Mainline Stn,Fraud (Less Serious),9
CRYSTAL PALACE,Mainline Stn,Fraud (Less Serious),10
CRYSTAL PALACE,Mainline Stn,Drugs,1
CUSTOM HOUSE,DLR Stn,Line of Route (Serious),2
CUSTOM HOUSE,DLR Stn,Theft of Passenger Property,1
CUSTOM HOUSE,DLR Stn,Theft of Passenger Property,1
CUSTOM HOUSE,DLR Stn,Violence,1
CUSTOM HOUSE,DLR Stn,Criminal Damage,2
CUSTOM HOUSE,DLR Stn,Theft of Passenger Property,3
CUTTY SARK,DLR Stn,Line of Route (Less Serious),1
CUTTY SARK,DLR Stn,Violence,1
CUTTY SARK,DLR Stn,Sex,1
CUTTY SARK,DLR Stn,Theft of Passenger Property,3
CUTTY SARK,DLR Stn,Violence,2
CUTTY SARK,DLR Stn,Drugs,1
CYPRUS,DLR Stn,Violence,1
CYPRUS,DLR Stn,Sex,1
CYPRUS,DLR Stn,Graffiti,1
CYPRUS,DLR Stn,Violence,1
CYPRUS,DLR Stn,Theft of Passenger Property,1
CYPRUS,DLR Stn,Pedal Cycle,1
DAGENHAM DOCK,Mainline Stn,Criminal Damage,1
DAGENHAM DOCK,Mainline Stn,Line of Route (Less Serious),3
DAGENHAM DOCK,Mainline Stn,Violence,1
DAGENHAM DOCK,Mainline Stn,Violence,1
DAGENHAM DOCK,Mainline Stn,Violence,2
DAGENHAM DOCK,Mainline Stn,Pedal Cycle,1
DAGENHAM DOCK,Mainline Stn,Public Order (Less Serious),1
DAGENHAM DOCK,Mainline Stn,Other (Serious),1
DAGENHAM EAST,TfL Stn,Criminal Damage,1
DAGENHAM EAST,TfL Stn,Graffiti,1
DAGENHAM EAST,TfL Stn,Graffiti,1
DAGENHAM EAST,TfL Stn,Line of Route (Less Serious),3
DAGENHAM EAST,TfL Stn,Line of Route (Less Serious),3
DAGENHAM EAST,TfL Stn,Criminal Damage,1
DAGENHAM EAST,TfL Stn,Theft of Passenger Property,3
DAGENHAM EAST,TfL Stn,Theft of Passenger Property,1
DAGENHAM EAST,TfL Stn,Violence,1
DAGENHAM EAST,TfL Stn,Violence,2
DAGENHAM EAST,TfL Stn,Criminal Damage,1
DAGENHAM EAST,TfL Stn,Public Order (Less Serious),1
DAGENHAM EAST,TfL Stn,Public Order (Less Serious),1
DAGENHAM EAST,TfL Stn,Fraud (Less Serious),12
DAGENHAM EAST,TfL Stn,Fraud (Less Serious),3
DAGENHAM HEATHWAY,TfL Stn,Line of Route (Less Serious),3
DAGENHAM HEATHWAY,TfL Stn,Theft Cable & Plant,2
DAGENHAM HEATHWAY,TfL Stn,Fraud (Serious),1
DAGENHAM HEATHWAY,TfL Stn,Fraud (Less Serious),1
DAGENHAM HEATHWAY,TfL Stn,Violence,1
DAGENHAM HEATHWAY,TfL Stn,Violence,1
DAGENHAM HEATHWAY,TfL Stn,Violence,1
DAGENHAM HEATHWAY,TfL Stn,Sex,2
DAGENHAM HEATHWAY,TfL Stn,Theft of Passenger Property,2
DAGENHAM HEATHWAY,TfL Stn,Theft of Passenger Property,1
DAGENHAM HEATHWAY,TfL Stn,Public Order (Less Serious),1
DAGENHAM HEATHWAY,TfL Stn,Fraud (Less Serious),3
DAGENHAM HEATHWAY,TfL Stn,Violence,1
DAGENHAM HEATHWAY,TfL Stn,Violence,4
DAGENHAM HEATHWAY,TfL Stn,Violence,2
DAGENHAM HEATHWAY,TfL Stn,Violence,1
DAGENHAM HEATHWAY,TfL Stn,Weapons,1
DAGENHAM HEATHWAY,TfL Stn,Robbery,1
DAGENHAM HEATHWAY,TfL Stn,Public Order (Serious),2
DAGENHAM HEATHWAY,TfL Stn,Public Order (Serious),1
DAGENHAM HEATHWAY,TfL Stn,Public Order (Less Serious),3
DAGENHAM HEATHWAY,TfL Stn,Public Order (Less Serious),3
DAGENHAM HEATHWAY,TfL Stn,Public Order (Less Serious),1
DAGENHAM HEATHWAY,TfL Stn,Public Order (Less Serious),1
DAGENHAM HEATHWAY,TfL Stn,Fraud (Serious),1
DAGENHAM HEATHWAY,TfL Stn,Fraud (Less Serious),15
DAGENHAM HEATHWAY,TfL Stn,Fraud (Less Serious),30
DAGENHAM HEATHWAY,TfL Stn,Drugs,3
DAGENHAM HEATHWAY,TfL Stn,Other (Serious),1
DAGENHAM HEATHWAY,TfL Stn,Other (Less Serious),1
DAGENHAM HEATHWAY,TfL Stn,Other (Less Serious),2
DALSTON JUNCTION,Mainline Stn,Violence,1
DALSTON JUNCTION,Mainline Stn,Drugs,1
DALSTON JUNCTION,Mainline Stn,Sex,1
DALSTON JUNCTION,Mainline Stn,Theft of Passenger Property,2
DALSTON JUNCTION,Mainline Stn,Theft of Passenger Property,1
DALSTON JUNCTION,Mainline Stn,Public Order (Serious),1
DALSTON JUNCTION,Mainline Stn,Public Order (Less Serious),1
DALSTON JUNCTION,Mainline Stn,Public Order (Less Serious),1
DALSTON JUNCTION,Mainline Stn,Violence,1
DALSTON JUNCTION,Mainline Stn,Theft of Passenger Property,1
DALSTON JUNCTION,Mainline Stn,Pedal Cycle,2
DALSTON JUNCTION,Mainline Stn,Pedal Cycle,6
DALSTON JUNCTION,Mainline Stn,Public Order (Serious),1
DALSTON JUNCTION,Mainline Stn,Public Order (Less Serious),1
DALSTON JUNCTION,Mainline Stn,Other (Serious),1
DALSTON KINGSLAND,Mainline Stn,Line of Route (Less Serious),3
DALSTON KINGSLAND,Mainline Stn,Violence,2
DALSTON KINGSLAND,Mainline Stn,Violence,1
DALSTON KINGSLAND,Mainline Stn,Theft of Passenger Property,8
DALSTON KINGSLAND,Mainline Stn,Theft of Passenger Property,1
